,total_bill,tip,sex,smoker,day,time,size,ox
67,3.07,1.0,Female,Yes,Sat,Dinner,1,
72,26.86,3.14,Female,Yes,Sat,Dinner,2,
73,25.28,5.0,Female,Yes,Sat,Dinner,2,
92,5.75,1.0,Female,Yes,Fri,Dinner,2,
93,16.32,4.3,Female,Yes,Fri,Dinner,2,
100,11.35,2.5,Female,Yes,Fri,Dinner,2,
101,15.38,3.0,Female,Yes,Fri,Dinner,2,
102,44.3,2.5,Female,Yes,Sat,Dinner,3,
103,22.42,3.48,Female,Yes,Sat,Dinner,2,
109,14.31,4.0,Female,Yes,Sat,Dinner,2,
164,17.51,3.0,Female,Yes,Sun,Dinner,2,
168,10.59,1.61,Female,Yes,Sat,Dinner,2,
169,10.63,2.0,Female,Yes,Sat,Dinner,2,
178,9.6,4.0,Female,Yes,Sun,Dinner,2,
186,20.9,3.5,Female,Yes,Sun,Dinner,3,
188,18.15,3.5,Female,Yes,Sun,Dinner,3,
191,19.81,4.19,Female,Yes,Thur,Lunch,2,
197,43.11,5.0,Female,Yes,Thur,Lunch,4,
198,13.0,2.0,Female,Yes,Thur,Lunch,2,
201,12.74,2.01,Female,Yes,Thur,Lunch,2,
202,13.0,2.0,Female,Yes,Thur,Lunch,2,
203,16.4,2.5,Female,Yes,Thur,Lunch,2,
205,16.47,3.23,Female,Yes,Thur,Lunch,3,
209,12.76,2.23,Female,Yes,Sat,Dinner,2,
213,13.27,2.5,Female,Yes,Sat,Dinner,2,
214,28.17,6.5,Female,Yes,Sat,Dinner,3,
215,12.9,1.1,Female,Yes,Sat,Dinner,2,
219,30.14,3.09,Female,Yes,Sat,Dinner,4,
221,13.42,3.48,Female,Yes,Fri,Lunch,2,
225,16.27,2.5,Female,Yes,Fri,Lunch,2,
226,10.09,2.0,Female,Yes,Fri,Lunch,2,
229,22.12,2.88,Female,Yes,Sat,Dinner,2,
240,27.18,2.0,Female,Yes,Sat,Dinner,2,
